Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uganda,UGA,48.584,48.318,48.04,47.748,47.438,47.101,46.728,46.308,45.834,45.299,44.693,44.007,43.248,42.428,41.564,40.68,39.8,38.947,38.135,37.377,36.674
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Arab Emirates,ARE,16.494,15.996,15.514,15.024,14.518,14.001,13.49,13.01,12.581,12.208,11.888,11.616,11.377,11.159,10.958,10.772,10.603,10.456,10.331,10.223,10.126
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United States,USA,14.4,14.1,14,14.1,14,14,14.3,14.3,14,13.5,13,12.7,12.6,12.4,12.5,12.4,12.2,11.8,11.6,11.4,10.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uzbekistan,UZB,21.4,20.5,21.1,19.9,20.9,20.4,21,22.7,23.7,23.4,22,21.2,21,22.5,23.3,23.5,22.8,22.1,23.3,24.3,24.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ukraine,UKR,7.8,7.7,8.1,8.5,9,9,9.8,10.2,11,11.1,10.8,11,11.4,11.1,10.8,10.7,10.3,9.4,8.7,8.1,7.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Kingdom,GBR,11.5,11.3,11.3,11.7,11.9,12,12.3,12.6,12.9,12.7,12.9,12.8,12.8,12.1,12,11.9,11.8,11.4,11,10.7,10.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uruguay,URY,16.329,16.095,15.853,15.6,15.34,15.087,14.856,14.661,14.51,14.402,14.332,14.291,14.263,14.233,14.192,14.134,14.057,13.963,13.857,13.74,13.616
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/23/2022,,,,,,,,,,,,,,,,,,,,,,,,
